	End	PI_COMPUTATION	REST_MAIN	TIMING	
THREAD 1.1.1	94.35	5.08	0.14	0.43	
THREAD 1.1.2	95.09	4.91	0.00	0.00	
THREAD 1.1.3	94.84	5.16	0.00	0.00	
THREAD 1.1.4	95.01	4.99	0.00	0.00	
THREAD 1.1.5	94.78	5.22	0.00	0.00	
THREAD 1.1.6	94.86	5.14	0.00	0.00	
THREAD 1.1.7	94.94	5.06	0.00	0.00	
THREAD 1.1.8	95.00	5.00	0.00	0.00	

Total	758.87	40.57	0.14	0.43	
Average	94.86	5.07	0.14	0.43	
Maximum	95.09	5.22	0.14	0.43	
Minimum	94.35	4.91	0.14	0.43	
Stdev	0.21	0.09	0.00	0.00	
Avg/Max	1.00	0.97	1.00	1.00	

